[15,96] [100,27]|(1 [-59,-97,-27] [-36,-66,12]);(2 [-68,50,-20] [63,-26,-4]);(3 [7,-53,84] [-54,86,86]);(4 [17,16,-18] [17,64,-36]);(5 [81,0,-64] [77,77,31]);(6 [83,-44,-79] [-8,56,-56]);(7 [-5,-13,79] [93,-38,65])

[62,8] [30,34]|(1 [-97,-11,-11] [32,42,26]);(2 [-23,84,-35] [90,-16,-40]);(3 [90,-83,-94] [-28,10,-9]);(4 [27,-10,82] [-6,0,-32]);(5 [67,-64,-16] [-87,-7,-8])

[38,39] [74,59]|(1 [-28,-25,-38] [39,-59,-41]);(2 [-16,-21,2] [84,47,33]);(3 [87,4,24] [25,29,31]);(4 [46,-40,-11] [-12,86,-25]);(5 [30,-15,92] [-18,29,78]);(6 [-59,84,65] [22,31,33]);(7 [-37,-6,37] [-48,45,9]);(8 [-43,28,97] [-57,75,-36]);(9 [90,9,66] [-30,0,40]);(10 [-37,-52,-55] [61,55,22])

[24,24] [52,46]|(1 [-79,-2,38] [0,-49,74]);(2 [27,48,-80] [40,46,-95]);(3 [48,30,-35] [-28,-13,90]);(4 [29,-23,-31] [42,-54,23]);(5 [-49,58,-80] [-83,-35,-23])

[11,79] [72,57]|(1 [-2,-2,-99] [96,-11,-53]);(2 [98,-88,-26] [6,62,19]);(3 [46,-66,28] [-49,-31,31]);(4 [-44,87,-35] [67,34,35]);(5 [-7,40,-11] [13,9,2]);(6 [92,-84,38] [100,-32,7]);(7 [-2,-48,17] [90,-47,24]);(8 [-43,-91,33] [-6,58,50]);(9 [-23,4,57] [70,-32,6])

[0,0] [100,100]|(1 [2,3,5] [42,61,10]);(3 [5,6,6] [12,3,7]);(2 [3,2,1] [12,6,7])
